"","k","i","j","TA","area"
"814",1,13,40,12,1850.20269349594
"815",1,14,1,14,32124.8035127456
"816",1,14,1,15,30375.1964872544
"817",1,14,2,14,62500
"818",1,14,3,13,9.33520192731794
"819",1,14,3,14,62490.6647980727
"820",1,14,4,13,34432.4255215627
"821",1,14,4,14,28067.5744784373
"822",1,14,5,13,62500
"823",1,14,6,13,62500
"824",1,14,7,12,25118.5301916938
"825",1,14,7,13,37381.4698083062
"826",1,14,8,12,61719.8418974125
"827",1,14,8,13,780.158102587455
"828",1,14,9,12,62500
"829",1,14,10,11,7824.58648857971
"830",1,14,10,12,54675.4135114203
"831",1,14,11,11,49089.5350660861
"832",1,14,11,12,13410.4649339139
"833",1,14,12,11,62500
"834",1,14,13,11,62500
"835",1,14,14,10,9337.0658008752
"836",1,14,14,11,53162.9341991248
"837",1,14,15,10,43075.6403826811
"838",1,14,15,11,19424.3596173189
"839",1,14,16,10,62356.5680558397
"840",1,14,16,11,143.431944160322
"841",1,14,17,10,62500
"842",1,14,18,10,62500
"843",1,14,19,9,4579.32048021579
"844",1,14,19,10,57920.6795197842
"845",1,14,20,9,23906.3994346467
"846",1,14,20,10,38593.6005653533
"847",1,14,21,9,41502.1666346397
"848",1,14,21,10,20997.8333653603
"849",1,14,22,9,55991.7267402416
"850",1,14,22,10,6508.27325975843
"851",1,14,23,9,62496.7470321115
"852",1,14,23,10,3.25296788846026
"853",1,14,24,9,62500
"854",1,14,25,9,62500
"855",1,14,26,9,62500
"856",1,14,27,9,62500
"857",1,14,28,9,62500
"858",1,14,29,9,62500
"859",1,14,30,9,62497.7471238715
"860",1,14,30,10,2.25287612850661
"861",1,14,31,9,56043.5885179535
"862",1,14,31,10,6456.4114820465
"863",1,14,32,9,41566.2381051682
"864",1,14,32,10,20933.7618948318
"865",1,14,33,9,23983.1270644848
"866",1,14,33,10,38516.8729355152
"867",1,14,34,9,4635.65951037737
"868",1,14,34,10,57864.3404896226
"869",1,14,35,10,62500
"870",1,14,36,10,62500
"871",1,14,37,10,62368.3389323106
"872",1,14,37,11,131.661067689412
"873",1,14,38,10,43209.4528559083
"874",1,14,38,11,19290.5471440917
"875",1,14,39,10,9441.48245117709
"876",1,14,39,11,53058.5175488229
"877",1,14,40,11,62500
"878",1,15,1,14,62285.9121808392
"879",1,15,1,15,214.087819160806
"880",1,15,2,14,62500
"881",1,15,3,13,28466.629806847
"882",1,15,3,14,34033.370193153
"883",1,15,4,13,62500
"884",1,15,5,13,62500
"885",1,15,6,12,27297.7554221544
"886",1,15,6,13,35202.2445778456
"887",1,15,7,12,62350.480494127
"888",1,15,7,13,149.519505873039
"889",1,15,8,12,62500
"890",1,15,9,11,15323.9245345692
"891",1,15,9,12,47176.0754654308
"892",1,15,10,11,57741.0618555784
"893",1,15,10,12,4758.9381444216
"894",1,15,11,11,62500
"895",1,15,12,10,1038.24411304867
"896",1,15,12,11,61461.7558869513
"897",1,15,13,10,30749.7938311645
"898",1,15,13,11,31750.2061688355
"899",1,15,14,10,60856.926501066
"900",1,15,14,11,1643.07349893403
"901",1,15,15,10,62500
"902",1,15,16,10,62500
"903",1,15,17,9,13595.6465061851
"904",1,15,17,10,48904.3534938149
"905",1,15,18,9,41360.3780450621
"906",1,15,18,10,21139.6219549379
"907",1,15,19,9,60999.1693440662
"908",1,15,19,10,1500.83065593377
"909",1,15,20,9,62500
"910",1,15,21,9,62500
"911",1,15,22,9,62500
"912",1,15,23,9,62500
"913",1,15,24,8,543.503023092241
"914",1,15,24,9,61956.4969769078
"915",1,15,25,8,5328.36602543344
"916",1,15,25,9,57171.6339745666
"917",1,15,26,8,8474.3671688139
"918",1,15,26,9,54025.6328311861
"919",1,15,27,8,8480.63866215814
"920",1,15,27,9,54019.3613378419
"921",1,15,28,8,5347.22807551128
"922",1,15,28,9,57152.7719244887
"923",1,15,29,8,554.369479670165
"924",1,15,29,9,61945.6305203298
"925",1,15,30,9,62500
"926",1,15,31,9,62500
"927",1,15,32,9,62500
"928",1,15,33,9,62500
"929",1,15,34,9,61032.77795355
"930",1,15,34,10,1467.22204644998
"931",1,15,35,9,41464.250299812
"932",1,15,35,10,21035.749700188
"933",1,15,36,9,13708.1656419514
"934",1,15,36,10,48791.8343580486
"935",1,15,37,10,62500
"936",1,15,38,10,62500
"937",1,15,39,10,60901.8963362658
"938",1,15,39,11,1598.10366373419
"939",1,15,40,10,30916.1532311216
"940",1,15,40,11,31583.8467688784
"941",1,16,1,14,62500
"942",1,16,2,13,18344.343245336
"943",1,16,2,14,44155.656754664
"944",1,16,3,13,61973.7160183435
"945",1,16,3,14,526.283981656481
"946",1,16,4,13,62500
"947",1,16,5,12,24047.397236882
"948",1,16,5,13,38452.602763118
"949",1,16,6,12,62304.3444999584
"950",1,16,6,13,195.655500041576
"951",1,16,7,12,62500
"952",1,16,8,11,19686.1719875806
"953",1,16,8,12,42813.8280124194
"954",1,16,9,11,60718.4363820937
"955",1,16,9,12,1781.56361790629
"956",1,16,10,11,62500
"957",1,16,11,10,6692.07071688221
"958",1,16,11,11,55807.9292831178
"959",1,16,12,10,48311.6320885403
"960",1,16,12,11,14188.3679114597
"961",1,16,13,10,62500
"962",1,16,14,10,62500
"963",1,16,15,9,10080.9352102127
"964",1,16,15,10,52419.0647897873
"965",1,16,16,9,44416.6579580215
"966",1,16,16,10,18083.3420419785
"967",1,16,17,9,62459.3410681766
"968",1,16,17,10,40.6589318234401
"969",1,16,18,9,62500
"970",1,16,19,9,62500
"971",1,16,20,8,4581.82501769272
"972",1,16,20,9,57918.1749823073
"973",1,16,21,8,22981.5838799068
"974",1,16,21,9,39518.4161200932
"975",1,16,22,8,39185.8767435363
"976",1,16,22,9,23314.1232564637
"977",1,16,23,8,51996.3707662483
"978",1,16,23,9,10503.6292337517
"979",1,16,24,8,60975.1472728345
"980",1,16,24,9,1524.85272716548
"981",1,16,25,8,62500
"982",1,16,26,8,62500
"983",1,16,27,8,62500
"984",1,16,28,8,62500
"985",1,16,29,8,60995.8779557856
"986",1,16,29,9,1504.1220442144
"987",1,16,30,8,52040.9501238423
"988",1,16,30,9,10459.0498761577
"989",1,16,31,8,39243.7980116202
"990",1,16,31,9,23256.2019883798
"991",1,16,32,8,23053.3345902393
"992",1,16,32,9,39446.6654097607
"993",1,16,33,8,4636.84299873128
"994",1,16,33,9,57863.1570012687
"995",1,16,34,9,62500
"996",1,16,35,9,62500
"997",1,16,36,9,62465.4964104228
"998",1,16,36,10,34.5035895771507
"999",1,16,37,9,44551.2303215502
"1000",1,16,37,10,17948.7696784498
"1001",1,16,38,9,10190.2075044377
"1002",1,16,38,10,52309.7924955623
"1003",1,16,39,10,62500
"1004",1,16,40,10,62500
"1005",1,17,1,13,7294.35944261101
"1006",1,17,1,14,55205.640557389
"1007",1,17,2,13,58166.0689447178
"1008",1,17,2,14,4333.93105528221
"1009",1,17,3,13,62500
"1010",1,17,4,12,16336.7828498478
"1011",1,17,4,13,46163.2171501522
"1012",1,17,5,12,61394.5130648746
"1013",1,17,5,13,1105.48693512545
"1014",1,17,6,12,62500
"1015",1,17,7,11,19170.5761415705
"1016",1,17,7,12,43329.4238584295
"1017",1,17,8,11,61300.1466403849
"1018",1,17,8,12,1199.85335961515
"1019",1,17,9,11,62500
"1020",1,17,10,10,12125.3985862247
"1021",1,17,10,11,50374.6014137753
"1022",1,17,11,10,56302.1725404498
"1023",1,17,11,11,6197.82745955022
"1024",1,17,12,10,62500
"1025",1,17,13,9,896.495300725724
"1026",1,17,13,10,61603.5046992743
"1027",1,17,14,9,30828.6831004907
"1028",1,17,14,10,31671.3168995093
"1029",1,17,15,9,61056.7154331123
"1030",1,17,15,10,1443.28456688769
"1031",1,17,16,9,62500
"1032",1,17,17,9,62500
"1033",1,17,18,8,14889.1432876952
"1034",1,17,18,9,47610.8567123048
"1035",1,17,19,8,42289.7087022089
"1036",1,17,19,9,20210.2912977911
"1037",1,17,20,8,61161.5049777722
"1038",1,17,20,9,1338.49502222778
"1039",1,17,21,8,62500
"1040",1,17,22,8,62500
"1041",1,17,23,8,62500
"1042",1,17,24,8,62500
"1043",1,17,25,8,62500
"1044",1,17,26,8,62500
"1045",1,17,27,8,62500
"1046",1,17,28,8,62500
"1047",1,17,29,8,62500
"1048",1,17,30,8,62500
"1049",1,17,31,8,62500
"1050",1,17,32,8,62500
"1051",1,17,33,8,61192.7047036119
"1052",1,17,33,9,1307.29529638815
"1053",1,17,34,8,42391.2126207558
"1054",1,17,34,9,20108.7873792442
"1055",1,17,35,8,15006.4396433086
"1056",1,17,35,9,47493.5603566914
"1057",1,17,36,9,62500
"1058",1,17,37,9,62500
"1059",1,17,38,9,61099.2912523016
"1060",1,17,38,10,1400.70874769835
"1061",1,17,39,9,30999.5607252073
"1062",1,17,39,10,31500.4392747927
"1063",1,17,40,9,933.041856819843
"1064",1,17,40,10,61566.9581431802
"1065",1,18,1,13,46462.2110751806
"1066",1,18,1,14,16037.7889248194
"1067",1,18,2,13,62500
"1068",1,18,3,12,6856.31795343743
"1069",1,18,3,13,55643.6820465626
"1070",1,18,4,12,57528.8572701119
"1071",1,18,4,13,4971.14272988807
"1072",1,18,5,12,62500
"1073",1,18,6,11,13969.5684514436
"1074",1,18,6,12,48530.4315485564
"1075",1,18,7,11,60379.3068605329
"1076",1,18,7,12,2120.69313946714
"1077",1,18,8,11,62500
"1078",1,18,9,10,13950.5318464233
"1079",1,18,9,11,48549.4681535767
"1080",1,18,10,10,58908.3437557995
"1081",1,18,10,11,3591.65624420047
"1082",1,18,11,10,62500
"1083",1,18,12,9,5318.32993982034
"1084",1,18,12,10,57181.6700601797
"1085",1,18,13,9,47093.5225842304
"1086",1,18,13,10,15406.4774157696
"1087",1,18,14,9,62500
"1088",1,18,15,9,62500
"1089",1,18,16,8,10775.7283531313
"1090",1,18,16,9,51724.2716468687
"1091",1,18,17,8,45743.3747678345
"1092",1,18,17,9,16756.6252321655
"1093",1,18,18,8,62499.4259221835
"1094",1,18,18,9,0.574077816534555
"1095",1,18,19,8,62500
"1096",1,18,20,8,62500
"1097",1,18,21,7,4371.29602538539
"1098",1,18,21,8,58128.7039746146
"1099",1,18,22,7,21514.871957205
"1100",1,18,22,8,40985.128042795
"1101",1,18,23,7,36010.5774280964
"1102",1,18,23,8,26489.4225719036
"1103",1,18,24,7,46758.2717204662
"1104",1,18,24,8,15741.7282795338
"1105",1,18,25,7,53867.562902604
"1106",1,18,25,8,8632.43709739598
"1107",1,18,26,7,57408.603495206
"1108",1,18,26,8,5091.39650479401
"1109",1,18,27,7,57415.6601057376
"1110",1,18,27,8,5084.33989426245
"1111",1,18,28,7,53888.8005798341
"1112",1,18,28,8,8611.19942016589
"1113",1,18,29,7,46793.8973052342
"1114",1,18,29,8,15706.1026947658
"1115",1,18,30,7,36060.9470511441
"1116",1,18,30,8,26439.0529488559
"1117",1,18,31,7,21580.5095553851
"1118",1,18,31,8,40919.4904446149
"1119",1,18,32,7,4423.36893162771
"1120",1,18,32,8,58076.6310683723
"1121",1,18,33,8,62500
"1122",1,18,34,8,62500
"1123",1,18,35,8,62499.9657302051
"1124",1,18,35,9,0.0342697948799469
"1125",1,18,36,8,45878.8813207481
"1126",1,18,36,9,16621.1186792519
"1127",1,18,37,8,10889.6819921961
"1128",1,18,37,9,51610.3180078039
"1129",1,18,38,9,62500
"1130",1,18,39,9,62500
"1131",1,18,40,9,47249.1541789815
"1132",1,18,40,10,15250.8458210185
"1133",1,19,1,13,62500
"1134",1,19,2,12,355.835858920311
"1135",1,19,2,13,62144.1641410797
"1136",1,19,3,12,46427.9825777183
"1137",1,19,3,13,16072.0174222817
"1138",1,19,4,12,62500
"1139",1,19,5,11,6234.05754632695
"1140",1,19,5,12,56265.942453673
"1141",1,19,6,11,56603.5823633638
"1142",1,19,6,12,5896.41763663618
"1143",1,19,7,11,62500
"1144",1,19,8,10,11247.4445672278
"1145",1,19,8,11,51252.5554327722
"1146",1,19,9,10,58652.0036991577
"1147",1,19,9,11,3847.99630084234
"1148",1,19,10,10,62500
"1149",1,19,11,9,8630.21383319595
"1150",1,19,11,10,53869.786166804
"1151",1,19,12,9,54148.5851402798
"1152",1,19,12,10,8351.41485972024
"1153",1,19,13,9,62500
"1154",1,19,14,8,679.124630179021
"1155",1,19,14,9,61820.875369821
"1156",1,19,15,8,30583.0339472284
"1157",1,19,15,9,31916.9660527716
"1158",1,19,16,8,61197.5271160169
"1159",1,19,16,9,1302.47288398314
"1160",1,19,17,8,62500
"1161",1,19,18,7,22.8837204032361
"1162",1,19,18,8,62477.1162795968
"1163",1,19,19,7,16204.9516160692
"1164",1,19,19,8,46295.0483839308
"1165",1,19,20,7,43105.2552777692
"1166",1,19,20,8,19394.7447222308
"1167",1,19,21,7,61244.9031918116
"1168",1,19,21,8,1255.09680818838
"1169",1,19,22,7,62500
"1170",1,19,23,7,62500
"1171",1,19,24,7,62500
"1172",1,19,25,7,62500
"1173",1,19,26,7,62500
"1174",1,19,27,7,62500
"1175",1,19,28,7,62500
"1176",1,19,29,7,62500
"1177",1,19,30,7,62500
"1178",1,19,31,7,62500
"1179",1,19,32,7,61274.4566929341
"1180",1,19,32,8,1225.54330706593
"1181",1,19,33,7,43203.8319358979
"1182",1,19,33,8,19296.1680641021
"1183",1,19,34,7,16321.7457306151
"1184",1,19,34,8,46178.2542693849
"1185",1,19,35,7,27.9594466062126
"1186",1,19,35,8,62472.0405533938
"1187",1,19,36,8,62500
"1188",1,19,37,8,61238.4772245152
"1189",1,19,37,9,1261.52277548479
"1190",1,19,38,8,30759.597680562
"1191",1,19,38,9,31740.402319438
"1192",1,19,39,8,711.610788347057
"1193",1,19,39,9,61788.3892116529
"1194",1,19,40,9,62500
"1195",1,20,1,13,62500
"1196",1,20,2,12,25303.6621661177
"1197",1,20,2,13,37196.3378338823
"1198",1,20,3,12,62500
"1199",1,20,4,11,383.358435475093
"1200",1,20,4,12,62116.6415645249
"1201",1,20,5,11,46161.6706154154
"1202",1,20,5,12,16338.3293845846
"1203",1,20,6,11,62500
"1204",1,20,7,10,5409.50808369682
"1205",1,20,7,11,57090.4919163032
"1206",1,20,8,10,55256.6775361732
"1207",1,20,8,11,7243.32246382678
"1208",1,20,9,10,62500
"1209",1,20,10,9,8220.42920846053
"1210",1,20,10,10,54279.5707915395
"1211",1,20,11,9,55747.5241863833
"1212",1,20,11,10,6752.47581361666
"1213",1,20,12,9,62500
"1214",1,20,13,8,3734.49099765094
"1215",1,20,13,9,58765.5090023491
"1216",1,20,14,8,45237.380114297
"1217",1,20,14,9,17262.619885703
"1218",1,20,15,8,62500
"1219",1,20,16,8,62500
"1220",1,20,17,7,11386.8502353508
"1221",1,20,17,8,51113.1497646492
"1222",1,20,18,7,47027.3964038532
"1223",1,20,18,8,15472.6035961468
"1224",1,20,19,7,62500
"1225",1,20,20,7,62500
"1226",1,20,21,7,62500
"1227",1,20,22,6,3859.78233223143
"1228",1,20,22,7,58640.2176677686
"1229",1,20,23,6,19288.5938040819
"1230",1,20,23,7,43211.4061959181
"1231",1,20,24,6,31630.99930471
"1232",1,20,24,7,30869.00069529
"1233",1,20,25,6,39774.1252558663
"1234",1,20,25,7,22725.8747441337
"1235",1,20,26,6,43824.0189217384
"1236",1,20,26,7,18675.9810782616
"1237",1,20,27,6,43832.0855889793
"1238",1,20,27,7,18667.9144110207
"1239",1,20,28,6,39798.4267809766
"1240",1,20,28,7,22701.5732190234
"1241",1,20,29,6,31671.8467557887
"1242",1,20,29,7,30828.1532442113
"1243",1,20,30,6,19346.5282837554
"1244",1,20,30,7,43153.4717162446
"1245",1,20,31,6,3906.63220912802
"1246",1,20,31,7,58593.367790872
"1247",1,20,32,7,62500
"1248",1,20,33,7,62500
"1249",1,20,34,7,62500
"1250",1,20,35,7,47159.0035482136
"1251",1,20,35,8,15340.9964517864
"1252",1,20,36,7,11505.2430909905
"1253",1,20,36,8,50994.7569090095
"1254",1,20,37,8,62500
"1255",1,20,38,8,62500
"1256",1,20,39,8,45406.1506846009
"1257",1,20,39,9,17093.8493153991
"1258",1,20,40,8,3815.72042734705
"1259",1,20,40,9,58684.2795726529
"1260",1,21,1,12,4594.99558137148
"1261",1,21,1,13,57905.0044186285
"1262",1,21,2,12,58155.2980002505
"1263",1,21,2,13,4344.70199974949
"1264",1,21,3,12,62500
"1265",1,21,4,11,25944.9396722073
"1266",1,21,4,12,36555.0603277927
"1267",1,21,5,11,62500
"1268",1,21,6,10,379.280279113584
"1269",1,21,6,11,62120.7197208864
"1270",1,21,7,10,45594.8691652523
"1271",1,21,7,11,16905.1308347477
"1272",1,21,8,10,62500
"1273",1,21,9,9,4374.81757697772
"1274",1,21,9,10,58125.1824230223
"1275",1,21,10,9,53270.4345836935
"1276",1,21,10,10,9229.56541630649
"1277",1,21,11,9,62500
"1278",1,21,12,8,5035.40448432253
"1279",1,21,12,9,57464.5955156775
"1280",1,21,13,8,50845.5780717783
"1281",1,21,13,9,11654.4219282217
"1282",1,21,14,8,62500
"1283",1,21,15,7,400.257973826321
"1284",1,21,15,8,62099.7420261737
"1285",1,21,16,7,29875.528037351
"1286",1,21,16,8,32624.471962649
"1287",1,21,17,7,61270.6701675953
"1288",1,21,17,8,1229.32983240472
"1289",1,21,18,7,62500
"1290",1,21,19,6,107.110686547229
"1291",1,21,19,7,62392.8893134528
"1292",1,21,20,6,17496.9366345129
"1293",1,21,20,7,45003.0633654871
"1294",1,21,21,6,43760.3384066026
"1295",1,21,21,7,18739.6615933974
"1296",1,21,22,6,61219.2447161722
"1297",1,21,22,7,1280.75528382784
"1298",1,21,23,6,62500
"1299",1,21,24,6,62500
"1300",1,21,25,6,62500
"1301",1,21,26,6,62500
"1302",1,21,27,6,62500
"1303",1,21,28,6,62500
"1304",1,21,29,6,62500
"1305",1,21,30,6,62500
"1306",1,21,31,6,61248.2252392421
"1307",1,21,31,7,1251.77476075788
"1308",1,21,32,6,43855.2029651881
"1309",1,21,32,7,18644.7970348119
"1310",1,21,33,6,17612.4002924298
"1311",1,21,33,7,44887.5997075702
"1312",1,21,34,6,117.801946974833
"1313",1,21,34,7,62382.1980530252
"1314",1,21,35,7,62500
"1315",1,21,36,7,61311.0767475553
"1316",1,21,36,8,1188.92325244471
"1317",1,21,37,7,30059.4741795447
"1318",1,21,37,8,32440.5258204553
"1319",1,21,38,7,425.905251672564
"1320",1,21,38,8,62074.0947483274
"1321",1,21,39,8,62500
"1322",1,21,40,8,50994.4942935494
"1323",1,21,40,9,11505.5057064506
"1324",1,22,1,12,34375.2303402369
"1325",1,22,1,13,28124.7696597631
"1326",1,22,2,12,62500
"1327",1,22,3,11,5253.84470412232
"1328",1,22,3,12,57246.1552958777
"1329",1,22,4,11,58660.1130336254
"1330",1,22,4,12,3839.88696637457
"1331",1,22,5,11,62500
"1332",1,22,6,10,26437.5568987794
"1333",1,22,6,11,36062.4431012206
"1334",1,22,7,10,62500
"1335",1,22,8,9,335.553680053245
"1336",1,22,8,10,62164.4463199468
"1337",1,22,9,9,44622.1581511205
"1338",1,22,9,10,17877.8418488795
"1339",1,22,10,9,62500
"1340",1,22,11,8,3147.19936685854
"1341",1,22,11,9,59352.8006331415
"1342",1,22,12,8,50274.5635134854
"1343",1,22,12,9,12225.4364865146
"1344",1,22,13,8,62500
"1345",1,22,14,7,2050.67690699738
"1346",1,22,14,8,60449.3230930026
"1347",1,22,15,7,42404.6756063899
"1348",1,22,15,8,20095.3243936101
"1349",1,22,16,7,62500
"1350",1,22,17,7,62500
"1351",1,22,18,6,11863.5684806722
"1352",1,22,18,7,50636.4315193278
"1353",1,22,19,6,48221.5003383885
"1354",1,22,19,7,14278.4996616115
"1355",1,22,20,6,62500
"1356",1,22,21,6,62500
"1357",1,22,22,6,62500
"1358",1,22,23,5,2933.24876748246
"1359",1,22,23,6,59566.7512325175
"1360",1,22,24,5,15947.5159517284
"1361",1,22,24,6,46552.4840482716
"1362",1,22,25,5,25480.9055593376
"1363",1,22,25,6,37019.0944406624
"1364",1,22,26,5,30211.1766496541
"1365",1,22,26,6,32288.8233503459
"1366",1,22,27,5,30220.5913060553
"1367",1,22,27,6,32279.4086939447
"1368",1,22,28,5,25509.3113582372
"1369",1,22,28,6,36990.6886417628
"1370",1,22,29,5,15995.4126181108
"1371",1,22,29,6,46504.5873818892
"1372",1,22,30,5,2971.5316457993
"1373",1,22,30,6,59528.4683542007
"1374",1,22,31,6,62500
"1375",1,22,32,6,62500
"1376",1,22,33,6,62500
"1377",1,22,34,6,48349.0187357307
"1378",1,22,34,7,14150.9812642693
"1379",1,22,35,6,11986.0500833301
"1380",1,22,35,7,50513.9499166699
"1381",1,22,36,7,62500
"1382",1,22,37,7,62500
"1383",1,22,38,7,42592.3721257186
"1384",1,22,38,8,19907.6278742814
"1385",1,22,39,7,2112.98038766866
"1386",1,22,39,8,60387.0196123313
"1387",1,22,40,8,62500
"1388",1,23,1,12,60101.8932067114
"1389",1,23,1,13,2398.10679328861
"1390",1,23,2,12,62500
"1391",1,23,3,11,35756.6660872608
"1392",1,23,3,12,26743.3339127392
"1393",1,23,4,11,62500
"1394",1,23,5,10,5932.51284523415
"1395",1,23,5,11,56567.4871547659
"1396",1,23,6,10,59099.9152602075
"1397",1,23,6,11,3400.0847397925
"1398",1,23,7,10,62500
"1399",1,23,8,9,26733.4084150556
"1400",1,23,8,10,35766.5915849444
"1401",1,23,9,9,62500
"1402",1,23,10,8,249.058528972189
"1403",1,23,10,9,62250.9414710278
"1404",1,23,11,8,43074.5137214742
"1405",1,23,11,9,19425.4862785258
"1406",1,23,12,8,62500
"1407",1,23,13,7,1803.55524700146
"1408",1,23,13,8,60696.4447529985
"1409",1,23,14,7,45604.5924420228
"1410",1,23,14,8,16895.4075579772
"1411",1,23,15,7,62500
"1412",1,23,16,6,118.749113034997
"1413",1,23,16,7,62381.250886965
"1414",1,23,17,6,28477.3587609288
"1415",1,23,17,7,34022.6412390712
"1416",1,23,18,6,61256.7641964818
"1417",1,23,18,7,1243.2358035182
"1418",1,23,19,6,62500
"1419",1,23,20,5,252.48005307839
"1420",1,23,20,6,62247.5199469216
"1421",1,23,21,5,18752.6522241662
"1422",1,23,21,6,43747.3477758338
"1423",1,23,22,5,44178.5471737812
"1424",1,23,22,6,18321.4528262188
"1425",1,23,23,5,61006.0137451763
"1426",1,23,23,6,1493.98625482369
"1427",1,23,24,5,62500
"1428",1,23,25,5,62500
"1429",1,23,26,5,62500
"1430",1,23,27,5,62500
"1431",1,23,28,5,62500
"1432",1,23,29,5,62500
"1433",1,23,30,5,61036.0017578173
"1434",1,23,30,6,1463.99824218271
"1435",1,23,31,5,44268.5468235026
"1436",1,23,31,6,18231.4531764974
"1437",1,23,32,5,18866.3577671516
"1438",1,23,32,6,43633.6422328484
"1439",1,23,33,5,268.786847730622
"1440",1,23,33,6,62231.2131522694
"1441",1,23,34,6,62500
"1442",1,23,35,6,61298.2227609454
"1443",1,23,35,7,1201.77723905457
"1444",1,23,36,6,28671.2949950934
"1445",1,23,36,7,33828.7050049066
"1446",1,23,37,6,133.354314406673
"1447",1,23,37,7,62366.6456855933
"1448",1,23,38,7,62500
"1449",1,23,39,7,45791.2680320065
"1450",1,23,39,8,16708.7319679935
"1451",1,23,40,7,1866.87965701774
"1452",1,23,40,8,60633.1203429823
"1453",1,24,1,12,62500
"1454",1,24,2,11,6099.55072075389
"1455",1,24,2,12,56400.4492792461
"1456",1,24,3,11,60621.4731526475
"1457",1,24,3,12,1878.52684735249
"1458",1,24,4,11,62500
"1459",1,24,5,10,37133.6305474507
"1460",1,24,5,11,25366.3694525493
"1461",1,24,6,10,62500
"1462",1,24,7,9,6619.45776653453
"1463",1,24,7,10,55880.5422334655
"1464",1,24,8,9,59471.7575920754
"1465",1,24,8,10,3028.24240792464
"1466",1,24,9,9,62500
"1467",1,24,10,8,26760.3842957594
"1468",1,24,10,9,35739.6157042406
"1469",1,24,11,8,62500
"1470",1,24,12,7,129.470805852163
"1471",1,24,12,8,62370.5291941478
"1472",1,24,13,7,40665.8652266393
"1473",1,24,13,8,21834.1347733607
"1474",1,24,14,7,62500
"1475",1,24,15,6,562.95119481297
"1476",1,24,15,7,61937.048805187
"1477",1,24,16,6,37973.3878938774
"1478",1,24,16,7,24526.6121061226
"1479",1,24,17,6,62500
"1480",1,24,18,6,62500
"1481",1,24,19,5,12128.6546616577
"1482",1,24,19,6,50371.3453383423
"1483",1,24,20,5,49311.0530279947
"1484",1,24,20,6,13188.9469720053
"1485",1,24,21,5,62500
"1486",1,24,22,5,62500
"1487",1,24,23,5,62500
"1488",1,24,24,4,1496.6165698196
"1489",1,24,24,5,61003.3834301804
"1490",1,24,25,4,10865.9274688364
"1491",1,24,25,5,51634.0725311636
"1492",1,24,26,4,16553.0557099734
"1493",1,24,26,5,45946.9442900266
"1494",1,24,27,4,16564.3603661559
"1495",1,24,27,5,45935.6396338441
"1496",1,24,28,4,10900.1228585338
"1497",1,24,28,5,51599.8771414662
"1498",1,24,29,4,1521.11652393962
"1499",1,24,29,5,60978.8834760604
"1500",1,24,30,5,62500
"1501",1,24,31,5,62500
"1502",1,24,32,5,62500
"1503",1,24,33,5,49435.0176425121
"1504",1,24,33,6,13064.9823574879
"1505",1,24,34,5,12254.6900471403
"1506",1,24,34,6,50245.3099528597
"1507",1,24,35,6,62500
"1508",1,24,36,6,62500
"1509",1,24,37,6,38189.0901778267
"1510",1,24,37,7,24310.9098221733
"1511",1,24,38,6,597.248910863656
"1512",1,24,38,7,61902.7510891363
"1513",1,24,39,7,62500
"1514",1,24,40,7,40896.9271986585
"1515",1,24,40,8,21603.0728013415
"1516",1,25,1,12,62500
"1517",1,25,2,11,32013.0718953182
"1518",1,25,2,12,30486.9281046818
"1519",1,25,3,11,62500
"1520",1,25,4,10,6964.34850646311
"1521",1,25,4,11,55535.6514935369
"1522",1,25,5,10,61077.8082599015
"1523",1,25,5,11,1422.19174009853
"1524",1,25,6,10,62500
"1525",1,25,7,9,38505.2643674588
"1526",1,25,7,10,23994.7356325412
"1527",1,25,8,9,62500
"1528",1,25,9,8,7298.94817695777
"1529",1,25,9,9,55201.0518230422
"1530",1,25,10,8,59770.6067297792
"1531",1,25,10,9,2729.39327022083
"1532",1,25,11,8,62500
"1533",1,25,12,7,26406.0595031514
"1534",1,25,12,8,36093.9404968486
"1535",1,25,13,7,62500
"1536",1,25,14,6,18.8016020574732
"1537",1,25,14,7,62481.1983979425
"1538",1,25,15,6,36878.9278203786
"1539",1,25,15,7,25621.0721796214
"1540",1,25,16,6,62500
"1541",1,25,17,6,62500
"1542",1,25,18,5,25982.5033907321
"1543",1,25,18,6,36517.4966092679
"1544",1,25,19,5,61111.3210937655
"1545",1,25,19,6,1388.67890623448
"1546",1,25,20,5,62500
"1547",1,25,21,4,457.567892137687
"1548",1,25,21,5,62042.4321078623
"1549",1,25,22,4,19951.0156531408
"1550",1,25,22,5,42548.9843468592
"1551",1,25,23,4,44225.3812902133
"1552",1,25,23,5,18274.6187097867
"1553",1,25,24,4,60362.3590088615
"1554",1,25,24,5,2137.64099113853
"1555",1,25,25,4,62500
"1556",1,25,26,4,62500
"1557",1,25,27,4,62500
"1558",1,25,28,4,62500
"1559",1,25,29,4,60395.8256788616
"1560",1,25,29,5,2104.17432113839
"1561",1,25,30,4,44308.7189249551
"1562",1,25,30,5,18191.2810750449
"1563",1,25,31,4,20062.2890195221
"1564",1,25,31,5,42437.7109804779
"1565",1,25,32,4,479.490221014547
"1566",1,25,32,5,62020.5097789855
"1567",1,25,33,5,62500
"1568",1,25,34,5,61156.3303216535
"1569",1,25,34,6,1343.6696783465
"1570",1,25,35,5,26187.4941628442
"1571",1,25,35,6,36312.5058371558
"1572",1,25,36,6,62500
"1573",1,25,37,6,62500
